name,type,country,founded,born,died
Falco,band,Austria,,,
Remy Zero,band,United States,,,
Wendy Matthews,artist,Australia,,,
Marky Mark and the Funky Bunch,band,United States,,,
Zrazy,band,Ireland,1992,,
After The Fire,band,England,1971,,
Billy Joe Shaver,artist,United States,,,
John Prine,artist,United States,,1946,
Harmony In Spirit,band,,,,
Jacques,band,Wales,,,
Damon Albarn,artist,England,,1968,
Ray Brown,artist,United States,,1926,2002
Slim Whitman,artist,United States,,1924,
The White Stripes,band,United States,1997,,
Chris De Burgh,artist,United Kingdom,,,
Gary Glitter,artist,England,,1940,
Bomfunk MC's,band,Finland,1998,,
Mansun,band,United Kingdom,,,
Balfa Toujours,band,United States,1992,,
Marshall Dyllon,band,United States,,,
I Love You But I've Chosen Darkness,band,,,,
Alien Fashion Show,band,United States,1996,,
Janny Grein,artist,United States,,,
The Donnas,band,United States,,,
Benny Goodman,artist,United States,,,
Uncle Sam,band,United States,,,
Backstreet Boys,band,United States,1992,,
Autechre,band,England,1991,,
Bonzo Dog Band,band,England,1965,,
Paul Young,artist,United Kingdom,,1980,
Lil Bow Wow,band,United States,,,
Mick Hucknall,artist,England,,1960,
The Urge,band,United States,,,
B2K,band,United States,2001,,
Tammi Terrell,artist,United States,,,
Space,band,United Kingdom,,,
David Byrne,artist,Scotland,,1952,
The Tea Party,band,Canada,,,
Servo,band,Canada,1998,,
Bill Monroe,artist,United States,,1911,1996
Nicole Willis,artist,United States,,,
George Harrison,artist,England,,1943,2001
Folk Implosion,band,United States,,,
Telefon Tel Aviv,band,,,,
Lovemongers,band,United States,,,
Samantha 7,band,,,,
The The,band,United Kingdom,,,
Focus,band,Netherlands,,,
Michael Roe,artist,United States,,1954,
Alien Ant Farm,band,United States,1995,,
Dark Tranquility,band,,,,
Noodle,artist,,,,
Chris DeGarmo,artist,United States,,,
Mark Isham,artist,United States,,,
Cinc,band,,,,
Everclear,band,United States,,,
Atomic Kitten,band,United Kingdom,1999,,
Dynamite Boy,band,United States,,,
Public Image Limited,band,England,1978,,
Shannon Curfman,artist,United States,,,
Kidney Riddler,band,United Kingdom,2005,,
Jump,band,,,,
Queens of the Stone Age,band,United States,1997,,
Deni Hines,artist,Australia,,,
Bessie Smith,artist,United States,,,
Tift Merritt,artist,United States,,,
Silver Scooter,band,United States,1995,,
Jericho Road,band,United States,,,
Andreas Kisser,artist,Brazil,,1968,
Chris Isaak and Silvertone,band,United States,,,
Happy Rhodes,artist,United States,,,
Exodus,band,,,,
The Sisters of Mercy,band,England,,,
Cold,band,United States,,,
James Taylor,artist,United States,,1948,
David Lee Roth,artist,United States,,,
The Laziest Men on Mars,band,United States,,,
Full Devil Jacket,band,United States,,,
Turin Brakes,band,United Kingdom,1999,,
Horsepower,band,England,,,
Unk,band,,,,
Doc Watson,artist,United States,,,
The Brian Jonestown Massacre,band,United States,1990,,
Dodgy,band,England,,,
Howie Dorough,artist,United States,,,
Dan Ar Braz,band,,,,
Cracker,band,United States,,,
Mukesh,band,India,,,
Alison Moyet,artist,England,,1961,
Big Sugar,band,Canada,1991,,
John Butler Trio,band,,,,
Nine Inch Nails,band,United States,1989,,
Ultimate Fakebook,band,United States,,,
The Mutton Birds,band,New Zealand,,,
The Flaming Lips,band,United States,,,
Riverway,band,,,,
Idiot Flesh,band,United States,,,
Kitaro,artist,Japan,,1953,
Ray J,artist,,,,
OFFkey,band,United States,,,
Wolfstone,band,,,,
Can,band,Germany,1968,,
ZZ Top,band,United States,1970,,
Three Dog Night,band,,,,
Candide,band,England,,,
Spandau Ballet,band,United Kingdom,,,
Guru,artist,United States,,,
Alannah Myles,artist,Canada,,,
Lucky Boys Confusion,band,United States,,,
By Divine Right,band,Canada,1991,,
The Residents,band,United States,1966,,
Mytown,band,Ireland,,,
Austin Lounge Lizards,band,United States,1980,,
Jimmy Somerville,artist,Scotland,,,
CatDesigners,band,,,,
Marvin Gaye,artist,United States,,1939,1984
Paleday,band,United Kingdom,,,
8Stops7,band,United States,1996,,
Shelby Lynne,artist,United States,,,
Electrasy,band,England,,,
Marillion,band,England,,,
Angel,band,United States,,,
Vertical Horizon,band,United States,1991,,
Germinal,band,United Kingdom,,,
40dayrain,band,,,,
Be Bop Deluxe,band,England,1972,,
Puressence,band,England,,,
China Drum,band,England,,,
Halfcocked,band,,,,
Angélique Kidjo,artist,Benin,,,
Beaver Nelson,artist,United States,,,
Marcella Detroit,artist,United States,,,
Rush,band,Canada,1969,,
Neil Singleton,artist,England,,1965,
David Gilmour,artist,England,,,
Sweet Comfort Band,band,United States,1973,,
Circleslide,band,,,,
Moby,artist,United States,,1965,
Spirits of Eve,band,Australia,,,
Larry Norman,artist,United States,,1947,2008
Jagged Edge,band,United States,,,
Dysart and Dundonald Pipe Band,band,Scotland,1929,,
Jimmy Martin,artist,United States,,,
Niraj Chag,artist,England,,,
Raven,band,United States,1997,,
Joe Ely,artist,United States,,,
Jason Mraz,artist,United States,,,
Limp Wrist,band,,,,
Lumpy Balboa Condition,band,,,,
Secret Secret,band,United States,,,
Siouxsie and the Banshees,band,England,1976,,
Tom Morello,artist,United States,,,
Lisa Cerbone,artist,United States,,,
Soulwax,band,Belgium,,,
Carter Beauford,artist,United States,,1957,
Daniel Bedingfield,artist,New Zealand,,1980,
Aphex Twin,artist,England,,1971,
Uberzone,band,United States,,,
Amen,band,United States,1995,,
Warrior Soul,band,United States,,,
Kanary,band,United States,1996,,
Ronnie McDowell,artist,United States,,,
La Mafia,band,United States,,,
Belle Perez,artist,Netherlands,,,
Paul Anka,artist,Canada,,1941,
Ray Wylie Hubbard,artist,United States,,,
Roger Sanchez,artist,United States,,,
Vast,band,United States,,,
Jack Bruce,artist,England,,,
El Vez,band,United States,,,
Steppenwolf,band,United States,,,
Graham Parker,artist,England,,,
Roachford,band,,,,
Melissa Etheridge,artist,United States,,1961,
Eisbrecher,band,,,,
Jennifer Paige,artist,United States,,,
Wallochmor Ceilidh Band,band,Scotland,1977,,
Jan &amp; Dean,band,United States,,,
Joe Strummer,artist,England,,1952,2002
Future Sound of London,band,England,1989,,
Tom Sadge,artist,United States,,,
Dream Theater,band,United States,,,
Travis Brant,artist,United States,,1986,
Huggy Bear,band,England,,,
Bryan White,artist,United States,,1974,
Aztec Camera,band,Scotland,1980,,
Wagon Christ,artist,England,,,
Pat McGee Band,band,United States,1996,,
Mike Ness,artist,United States,,,
Skandal,band,England,,,
D.F.A.,artist,Italy,,,
Butthole Surfers,band,United States,1982,,
Clutch,band,United States,,,
Adiemus,band,England,1994,,
Edinburgh City Police Pipe Band,band,Scotland,,,
The Watchmen,band,Canada,1988,,
Tenacious D,band,United States,1994,,
Die Warzau,band,United States,,,
John Anderson,artist,United States,,1955,
David Urquhart Travel Pipes and Drums,band,Scotland,1997,,
H &amp; Claire,band,United Kingdom,2002,,
Nevermore,band,,,,
Tom Petty,artist,United States,,,
Goudie,band,United States,1997,,
Deborah Gibson,artist,United States,,,
Rick Danko,artist,Canada,,1942,1999
Man Or Astro-Man,band,United States,,,
Furslide,band,United States,,,
Juliana Hatfield,artist,United States,,1967,
Lynyrd Skynyrd,band,United States,1965,,
Soda Ash,band,United States,,,
Jaded,band,United States,,,
Big L (born: Lamont Coleman),artist,United States,,1974,1999
Jennifer Lopez,artist,United States,,1970,
Indigo Child,band,,,,
Motorbaby,band,United States,,,
Revolting Cocks,band,,,,
Yuppie Flu,band,,,,
The Midnight Justice Band,band,United States,,,
Sierra,band,United States,,,
Big Country,band,Scotland,1981,,
Wesley Willis,artist,United States,,1963,2003
Martie Seidel,artist,United States,,,
Insision,band,Sweden,1997,,
Kathleen Hanna,artist,United States,,,
Dixie Chicks,band,United States,1990,,
City of Blacktown Pipe Band,band,Australia,,,
Yolanda Adams,artist,United States,,1964,
John P. Strohm,artist,United States,,,
The Cramps,band,United States,,,
Blues Cat,band,United States,,,
Girls Against Boys,band,United States,,,
Fugazi,band,United States,1988,,
The Queers,band,United States,1982,,
Andrea Corr,artist,Ireland,,,
Golden Smog,band,United States,,,
The Cruel Sea,band,Australia,,,
The Jesus and Mary Chain,band,Scotland,1984,,
Tony Carey,artist,United States,,,
Nitin Sawhney,artist,England,,,
Judy Henske,artist,United States,,,
Disturbed,band,United States,,,
Devo,band,United States,,,
L'Arc-en-Ciel,band,Japan,1991,,
Eve 6,band,United States,1990,,
Wild Strawberries,band,Canada,,,
Paul Carrack,artist,England,,,
Jessye Norman,artist,United States,,,
Lisa Stansfield,artist,England,,1965,
Skillet,band,United States,,,
Claudia Church,artist,United States,,,
Apocalypse Hoboken,band,United States,,,
Holly Johnson,artist,England,,,
Dishwalla,band,United States,,,
Randy Matthews,artist,United States,,,
Nelly,band,United States,,,
The Wallflowers,band,United States,1990,,
The International Noise Conspiracy,band,Sweden,,,
Stephan Micus,artist,Germany,,,
Puddu Varano,band,,,,
Abdel Halim Hafez,artist,Egypt,,,
Hoobastank,band,,,,
Lo Pass Filters,band,,,,
The Get Up Kids,band,United States,1996,,
Boney M,band,Germany,1975,,
Adam Rickitt,artist,England,,,
Jody Watley,artist,United States,,,
Ultraswiss,band,United States,,,
Mickey Hart Band,band,United States,,,
Lift to Experience,band,United States,,,
Tadd Dameron,artist,United States,,1917,1965
Jay and the Americans,band,United States,,,
Pot,artist,Indonesia,,1971,
Running Wild,band,Germany,,,
West at Seven,band,United States,,,
Sandy Denny,artist,England,,,
Obscured By Clouds,band,United States,,,
Sheri Margrave,artist,United States,,,
Lari White,artist,United States,,,
Dame Kiri Te Kanawa,artist,New Zealand,,,
Black Flag,band,United States,1977,,
Paul Goldberg,artist,United States,,1959,
Steve Areen,artist,United States,,,
Lady Gaga,artist,United States,,1986,
Heather Nova,artist,Bermuda,,,
Nine Days,band,United States,,,
Push Down and Turn,band,,,,
Igor Cavalera,artist,Brazil,,1970,
Jellyfish,band,United States,1989,,
Pulse Ultra,band,Canada,1999,,
Damageplan,band,,,,
Jim Croce,artist,United States,,,
Deus Ex Machina,band,Greece,1989,,
Bill Robinson,artist,United States,,,
FourPlay,band,United States,,,
Brian Downey,artist,Ireland,,1951,
The Judy's,band,United States,,,
Johnny Winter,artist,United States,,,
Kenny Neal,artist,United States,,,
Lennie Gallant,artist,Canada,,,
Zard,band,Japan,1991,,
Smokey Robinson and the Miracles,band,United States,,,
Random Hold,band,England,,,
Jessica Andrews,artist,United States,,,
Love and Money,band,Scotland,1985,,
Dusty Springfield,artist,England,,1939,
Charly Garcia,artist,,,,
Chixdiggit,band,Canada,,,
Pigface,band,United States,,,
Black Label Society,band,,,,
Prozzäk,band,Canada,,,
Fifth Amendment,band,,,,
Dewey Balfa,artist,United States,,1927,1992
Cake,band,United States,1994,,
earthtone9,band,England,1997,,
Alastor,band,United States,,,
Millencolin,band,Sweden,1992,,
Drowning Pool,band,United States,,,
Scott Joplin,artist,United States,,,
Gil Ofarim,artist,Germany,,,
SR-71,band,United States,,,
Kairos,band,United States,2001,,
The Byrds,band,United States,1964,,
Def Leppard,band,England,1977,,
3rd Storee,band,United States,,,
Darren Hayes,artist,Australia,,1972,
Curve,band,United Kingdom,,,
The Average White Band,band,Scotland,1972,,
Sukia,band,United States,1995,,
Stephanie Bentley,artist,United States,,,
Steel Breeze,band,United States,,,
Avalon,band,United States,1995,,
Naked Aggression,band,United States,,,
Clifton Chenier,artist,United States,,,
Slugwrench,band,United States,,,
B.G.,artist,United States,,,
Just Jazz,band,India,,,
One Generation,band,United States,,,
Robert Cray,artist,United States,,,
The Traveling Wilburys,band,United States,,,
Raine Maida,artist,Canada,,1970,
Pedro the Lion,band,United States,,,
Catherine Wheel,band,United Kingdom,1990,,
16 Horsepower,band,United States,1993,,
Burton Cummings,artist,Canada,,,
Dir en Grey,band,Japan,,,
Diner,band,,,,
Skid Row,band,United States,,,
Ingrid Lucia and the Flying Neutrinos,band,United States,,,
Kubik,band,,,,
Robert Forster,artist,Australia,,,
Harry Connick Jr.,artist,United States,,,
Will Sexton,artist,United States,,1970,
Lungfish,band,,,,
Nick Carter,artist,United States,,,
Eva Cassidy,artist,United States,,,
Children of Bodom,band,Finland,,,
Mercury Rev,band,United States,,,
The Magnetic Fields,band,United States,1990,,
Kasey Chambers,artist,,,,
Bell Biv DeVoe,band,United States,1988,,
Clan of Xymox,band,Netherlands,,,
The Go-Betweens,band,Australia,,,
FourGiven,band,United States,,,
Bunnygrunt,band,United States,1993,,
The Waco Brothers,band,United States,1993,,
Aly Bain and Phil Cunningham,band,Scotland,1988,,
Samantha Cole,artist,United States,,,
Foxy Brown,artist,United States,,1979,
5000 Watts,band,Germany,,,
Rancid,band,United States,,,
Suze DeMarchi,artist,Australia,,,
DOA,band,Canada,,,
co.uk,band,Northern Ireland,,,
Sweeney Todd,band,,,,
Overkill,band,United States,,,
Stephan Genz,artist,Germany,,,
Wayne Shorter,artist,United States,,1933,
Holly Blake Arnstein,artist,United States,,,
Max Creek,band,United States,,,
Ex-Girl,band,Japan,,,
Ja Rule,band,United States,,,
Mindless Self Indulgence,band,United States,,,
Nancy Honeytree,artist,United States,,1950,
WDC,band,,,,
Michael Nyman,artist,England,,,
Wilson McKinley,band,United States,1967,,
Bree Sharp,artist,United States,,1975,
F5,band,United States,2004,,
Kari Rueslåtten,artist,Norway,,1970,
Seefeel,band,England,,,
Sarah Raisuddin,artist,Malaysia,,,
Wallacestone and District Pipe Band,band,Scotland,,,
Kulay,band,Philippines,1991,,
Hatebreed,band,United States,,,
Pulp,band,United Kingdom,,,
Mitch McVicker,artist,United States,,,
The Fall,band,United Kingdom,1976,,
Bleary and District Pipe Band,band,Ireland,,,
Paul Landers,artist,,,,
Suzy Bogguss,artist,United States,,1956,
Richard and Linda Thompson,band,,,,
Sugar Shack,band,United States,,,
Qual,band,United Kingdom,2000,,
Billie Holiday,artist,United States,,,
Ron Dante,artist,United States,,1945,
Cub,band,Canada,,,
The Benjamin Gate,band,South Africa,1998,,
Liz Horsman,artist,England,,,
Yeah Yeah Yeahs,band,,,,
Eliza Carthy,artist,England,,,
Velvet Acid Christ,band,United States,,,
Cinderella,band,United States,,,
that dog.,band,United States,,,
Josh Groban,artist,,,,
Luna,band,United States,1991,,
Otis Redding,artist,United States,,1941,1967
Dana International,artist,Israel,,1972,
AJ McLean,artist,United States,,,
Sarah Burnham,artist,,,,
Phat Chance,band,,,,
Leo Sayer,artist,England,,,
Debby Boone,artist,,,1956,
Long Beach Dub Allstars,band,United States,,,
Rachael Lampa,artist,United States,,,
Gayle Ackroyd,artist,Canada,,,
T. Model Ford,artist,United States,,,
They Might Be Giants,band,United States,1983,,
Trey Anastasio,artist,United States,,1964,
The Cowsills,band,United States,,,
Dimebag Darrell,artist,United States,,1966,2004
Einherjer,band,Norway,1993,,
D-A-D,band,Denmark,,,
Atlanta Rhythm Section,band,United States,1970,,
Kingsize,band,United States,,,
Wildhearts,band,England,,,
Tayside Police Pipe Band,band,Scotland,1905,,
The Crocketts,band,Wales,,,
Carter Family,band,United States,1926,,
Ceolbeg,band,,,,
Charlie Peacock,artist,,,,
Air Miami,band,United States,1994,,
Busted,band,United Kingdom,2001,,
Psychedelic Furs,band,United Kingdom,1977,,
Maxwell,band,United States,,,
Toad the Wet Sprocket,band,United States,,,
Joe Jackson,artist,England,,,
Kazi Nazrul Islam,artist,Bangladesh,,,
Sharon Corr,artist,Ireland,,,
Terry Scott Taylor,artist,United States,,1950,
Molly Hatchet,band,United States,,,
Anne Sofie von Otter,artist,Sweden,,,
Trespassers William,band,,,,
Tartan Amoebas,band,,,,
N-Trance,band,United Kingdom,,,
Soulfly,band,Brazil,1997,,
Sleater-Kinney,band,United States,,,
Canned Heat,band,United States,,,
Sanctus Real,band,United States,1996,,
Lotus,band,Ireland,,,
Akwid,band,United States,2000,,
The Raspberries,band,United States,1970,,
Glass Eden,band,United States,,,
Thrush Hermit,band,Canada,,,
Niche,band,England,,,
Neko Case,artist,United States,,,
La India,artist,United States,,,
Charlie Morgan,artist,England,,,
Chris Cornell,artist,United States,,1964,
Urban Clearway,band,,,,
Dee D. Jackson,artist,England,,,
Plush,band,United States,,,
Beasts of Bourbon,band,Australia,1983,,
Bill Chase,artist,United States,,,
Howard Donald,artist,,,,
Bunny Wailer,artist,Jamaica,,1947,
Susan Aglukark,artist,Canada,,,
Brad,band,United States,1993,,
Ray Stevens,artist,United States,,,
U.S. Bombs,band,United States,,,
Celtic Fiddle Festival,band,,,,
New Model Army,band,United Kingdom,,,
Night In Gales,band,,,,
Real Life,band,,,,
Thomas Mapfumo,artist,Zimbabwe,,,
Billy Greer,artist,United States,,,
3Deep,band,United States,,,
Boy Hits Car,band,United States,1993,,
The Ink Spots,band,United States,,,
Dennis Brown,artist,Jamaica,,1957,1999
Smap,band,Japan,,,
Tom Rush,artist,United States,,,
Bus Boys,band,United States,,,
Octane,band,United States,,,
Ric Sven,artist,United States,,,
Eurogliders,band,Australia,,,
The Jolly Rogers,band,United States,,,
A-Ha,band,Norway,1982,,
Kent,band,Sweden,1990,,
Iced Earth,band,United States,,,
The Clarks,band,United States,,,
Universal Honey,band,Canada,,,
Sawyer Brown,band,United States,,,
Pete Wylie,artist,England,,,
My Dying Bride,band,,,,
Longpigs,band,England,,,
Anouar Brahem,artist,Tunisia,,1957,
Graham Gouldman,artist,England,,1946,
Lindisfarne,band,England,,,
The Kinks,band,England,1963,,
Lisa Lopes,artist,United States,,,
Herbie Hancock,artist,United States,,,
Westlife,band,United Kingdom,,,
Herman's Hermits,band,United Kingdom,1964,,
MxPx,band,United States,,,
6thirty7,band,United States,1997,,
Big Head Todd and the Monsters,band,United States,,,
Faze4,band,United States,,,
Pink Industry,band,England,1981,,
Great White,band,United States,,,
Whitney Houston,artist,United States,,1963,
Karsh Kale,artist,United States,,,
Eddy Arnold,artist,United States,,1918,
Queen Victoria School Pipe Band,band,Scotland,,,
Dan Bern,artist,United States,,,
William Orbit,artist,United Kingdom,,,
Namie Amuro,artist,Japan,,1977,
DMX,band,United States,,,
Deroot,band,United States,,,
Bernhard Fleischmann,artist,,,,
Randy Stonehill,artist,United States,,1952,
Appleton,band,England,2002,,
Daniel Johnston,artist,United States,,,
Jimmy Ellis,artist,United States,,1945,1998
The Blue Nile,band,Scotland,1981,,
Peaches,artist,,,,
Aaliyah,artist,United States,,1979,2001
Alan Jackson,artist,United States,,1958,
Free,band,England,,,
Warren Zevon,artist,United States,,1947,2003
Guy Forsyth,artist,United States,,,
M2M,band,Norway,1998,,
Barry Gibb,artist,Isle of Man,,1946,
Sammie,band,United States,,,
Testament,band,United States,,,
Love Spirals Downwards,band,United States,,,
Steve Adams,artist,United States,,1952,
Stephen Malkmus,artist,United States,,,
Bonnie Tyler,artist,Wales,,,
Air,band,France,1995,,
Down to the Bone,band,,,,
Hog Eye Navvy,band,,,,
Swing Out Sister,band,England,,,
Ten a.m.,band,,,,
chokebore,band,,,,
Out Of Body Experience,band,,,,
Social Deviantz,band,Canada,,,
Notorious B.I.G.,band,United States,,,
Pallas,band,Scotland,,,
Weather Report,band,,,,
The Stooges,band,United States,1967,,
General Public,band,England,,,
Glasgow Skye Association Pipe Band,band,Scotland,1968,,
Splender,band,United States,,,
Luxt,band,,,,
Nico,artist,Germany,,1938,1988
Donovan,artist,Scotland,,1946,
Love Song,band,United States,1968,,
Porcupine Tree,band,England,,,
Nine Mile Burn,band,United States,,,
Psychic TV,band,England,,,
Simon Apple,band,United States,,,
Ween,band,United States,,,
Spearhead,band,United States,1994,,
Rosetta Stone,band,England,,,
Diana Krall,artist,Canada,,,
Stan Getz,artist,United States,,,
Terami Hirsch,artist,United States,,,
Mannheim Steamroller,band,United States,,,
Mario Lanza,artist,United States,,,
Strangelove,band,England,,,
Young Dubliners,band,United States,1990,,
Corey Harris,artist,United States,,,
Samantha Mumba,artist,Ireland,,,
Dredg,band,United States,,,
Crazy Town,band,United States,1999,,
Saviour Machine,band,Germany,,,
Johnny Hates Jazz,band,United Kingdom,,,
The Hooters,band,United States,,,
Dornenreich,band,,,,
Pop Will Eat Itself,band,England,,,
Blue Meanies,band,United States,1991,,
BT,artist,United States,,1973,
10cc,band,England,1972,,
Peter Blegvad,artist,United States,,1951,
Bette Midler,artist,United States,,,
Joe Henderson,artist,United States,,,
Howlin' Wolf,band,United States,,,
Jackson Browne,artist,Germany,,1948,
Bon Jovi,band,United States,1983,,
Mojo Nixon,artist,United States,,,
J.J. Cale,artist,United States,,1938,
Lightning Bolt,band,,,,
Nancy Ajram,artist,Lebanon,,1983,
Edith Piaf,artist,France,,1915,1963
Dalena,artist,,,,
Tennessee Ernie Ford,artist,United States,,,
Eric Dolphy,artist,United States,,,
Artificial,band,Argentina,,,
Quasi,band,United States,1993,,
Diamond Head,band,,,,
Mogwai,band,Scotland,1996,,
The Five Blind Boys of Alabama,band,United States,1937,,
Self,band,United States,,,
Brian Eno,artist,England,,1948,
P!nk,artist,United States,,1979,
Far Too Jones,band,United States,,,
Nazareth,band,Scotland,,,
Bouncing Souls,band,United States,1987,,
Pearlcopper,artist,,,,
Arrested Development,band,United States,1988,,
Toronto and District Pipe Band,band,Canada,,,
Queensland Irish Association Pipe Band,band,Australia,,,
Michael Fredo,artist,United States,,,
The Wake,band,United States,,,
Terence Trent D'arby,artist,United States,,1962,
Sheila On 7,band,Indonesia,1996,,
Stabbing Westward,band,United States,,,
Tyketto,band,,,,
Southern Rock Allstars,band,United States,,,
Mest,band,United States,,,
Tarkan,artist,Turkey,,1972,
Frank Ifield,artist,England,,,
Modern Lovers,band,,,,
Velvet Hammer,band,United States,,,
Bob Woodruff,artist,United States,,,
Deine Lakaien,band,Germany,1984,,
A,band,United Kingdom,1997,,
Jann Arden,artist,Canada,,,
B-Factor,band,United States,,,
The Suicide Machines,band,United States,,,
The Brothers Creeggan,band,Canada,1987,,
Monster Magnet,band,United States,,,
The Jewws,band,United States,,,
Joe 90,band,United States,,,
Pete Townshend,artist,England,,1945,
Slobberbone,band,United States,,,
Stephanie Boosahda,artist,United States,,,
Kill Hannah,band,United States,1995,,
Dennis Gallo,artist,,,,
Sheena Easton,artist,Scotland,,1959,
Videodrone,band,United States,,,
Brooklyn Mob,band,United States,,,
Eric Bogle,artist,Australia,,1944,
Rockin' Sidney,band,United States,,,
Leatherwolf,band,,,,
The 77s,band,United States,1981,,
The Lennon Sisters,band,United States,,,
Bill Chambers,artist,,,,
War,band,United States,,,
Kenneth Holter,artist,Norway,,1979,
Aerosmith,band,United States,1970,,
Emily All Over,band,England,,,
Hakim,artist,Egypt,,1962,
Geneva,band,Scotland,,,
Blind Melon,band,United States,1989,,
Laibach,band,Slovenia,1980,,
Gorky's Zygotic Mynci,band,Wales,,,
VNV Nation,band,England,1990,,
Brand Nubian,band,United States,1989,,
Judge Dread,artist,United Kingdom,,1945,1998
Oleander,band,,,,
Planet P Project,band,United States,1983,,
Armitage Shanks,band,United Kingdom,1995,,
Rayvon,artist,,,,
Jackson Slade,artist,United States,,,
Rachel Stamp,band,United Kingdom,,,
The Bacon Brothers,band,United States,1994,,
Jim Johnstone and His Band,band,,,,
A Passing Fancy,band,Canada,,,
Tony Ashton,artist,England,,1946,
Spain,band,United States,,,
Blaze Bayley,artist,United Kingdom,,,
Lyle Mays,artist,United States,,,
Katatonia,band,Sweden,1991,,
Stereo MC's,band,,,,
The Turtles,band,United States,,,
King Bee,artist,,,,
Dixie Dregs,band,United States,1975,,
Hedningarna,band,Sweden,,,
Flickerstick,band,United States,,,
Exies,band,United States,,,
Blondie,band,United States,1974,,
Mayhem,band,Norway,,,
Duke Erikson,artist,,,1952,
Firewater,band,United States,,,
Pixies,band,United States,1986,,
The Stone Roses,band,England,,,
Rapoon,band,,,,
John Denver,artist,United States,,1943,1997
Willie Nile,artist,United States,,,
Los Lonely Boys,band,United States,,,
RES,artist,,,,
Scooter,band,Germany,,,
Death of a Salesman,band,,,,
Stereo Total,band,Germany,,,
Baron,artist,,,,
Sonicflood,band,United States,1998,,
Lonestar,band,United States,,,
Candlebox,band,United States,,,
Cinder,band,United States,,,
The Beach Boys,band,United States,1961,,
Billie Piper,artist,United Kingdom,,1982,
Hazell Dean,artist,England,,,
The Detroit Cobras,band,United States,,,
Superman Is Dead,band,,,,
Alisha's Attic,band,United Kingdom,1996,,
Dropkick Murphys,band,United States,1995,,
Anubis Spire,band,,1998,,
BJ Harris,artist,Canada,,1971,
Cain's Redemption,band,,,,
The Five Blind Boys of Mississippi,band,United States,,,
All Saved Freak Band,band,United States,1968,,
Bent Wind,band,Canada,1969,,
88 Fingers Louie,band,United States,1993,,
Robert Johnson,artist,United States,,,
Moose,band,United Kingdom,,,
Reel,band,,,,
Allen Iverson,artist,,,,
Eileen Ivers,artist,United States,,,
Alien Sex Fiend,band,England,1982,,
The Bay City Rollers,band,Scotland,1967,,
Rusted Root,band,United States,,,
Edgar Winter,artist,United States,,,
Samiam,band,United States,,,
The Avengers,band,United States,1977,,
Marty Willson-Piper,artist,England,,,
Nigel Olsson,artist,England,,,
The Sawdoctors,band,Ireland,,,
Apartment 26,band,United Kingdom,,,
Five Iron Frenzy,band,United States,,,
Roger Miller,artist,United States,,,
Brewer and Shipley,band,United States,1967,,
Holly McNarland,artist,Canada,,1975,
Dean Martin,artist,United States,,,
LovesLiesCrushing,band,United States,,,
2gether,band,United States,2000,,
Julian Lennon,artist,England,,1963,
The Verve Pipe,band,United States,1992,,
Rodney Crowell,artist,United States,,,
Missing Persons,band,,,,
TrueBliss,band,New Zealand,,,
At the Drive In,band,United States,1994,,
Slick Idiot,band,Germany,,,
Moloko,band,England,1993,,
Clam Abuse,band,,,,
Melissa Auf Der Maur,artist,United States,,1972,
Mike Merz,artist,United States,,,
Archie and the Pukes,band,United States,,,
The Amps,band,United States,1995,,
Ricky Martin,artist,Puerto Rico,,,
Princess Superstar,band,United States,,,
Moneen,band,Canada,,,
Kevin Cadogan,artist,United States,,,
Yardbirds,band,England,1963,,
Richard Thompson,artist,England,,,
Legendary Pink Dots,band,United Kingdom,,,
Scott Gorham,artist,United States,,1951,
Randy Newman,artist,United States,,,
Screeching Weasel,band,United States,,,
Mary Wilson,artist,United States,,,
Original Dixieland Jazz Band,band,United States,,,
3T,band,United States,,,
Billy Fury,artist,England,,,
Radiohead,band,England,1982,,
The Bathers,band,Scotland,1987,,
Urban Dub,band,,,,
Kalimoto,band,United Kingdom,,,
Gravity Kills,band,United States,,,
/rif,band,Indonesia,,,
Saint Sophia,band,United States,,,
Isaac Hayes,artist,United States,,1942,
Refused,band,Sweden,,,
Merzbow,band,Japan,,,
Michal,band,Israel,,,
Caroline's Spine,band,United States,,,
Donald Byrd,artist,United States,,1932,
Dexter Gordon,artist,United States,,1923,1990
Enrico Caruso,artist,Italy,,,
De Dijk,band,Netherlands,,,
Lucinda Williams,artist,United States,,,
Studiotone,band,United States,,,
Art Garfunkel,artist,United States,,,
38 Special,band,United States,1975,,
Keser,band,Scotland,,,
Blue Cartoon,band,United States,,,
Ruth Brown,artist,United States,,1928,
Soundgarden,band,United States,1984,,
Nicole C. Mullen,artist,United States,,,
Wilson Pickett,artist,United States,,,
Fergie MacDonald Ceilidh Band,band,,,,
Bentley Rhythm Ace,band,England,1995,,
Warrant,band,United States,,,
Mary-Kate and Ashley Olsen,artist,United States,,1986,
Laurent Garnier,artist,France,,,
Petland,band,United States,,,
Serge Gainsbourg,artist,France,,,
Jack Ingram,artist,United States,,,
Tom T. Hall,artist,United States,,,
Sir Mix-A-Lot,band,United States,,,
Rick Trevino,artist,United States,,,
Toshi Kubota,artist,Japan,,,
Basement Jaxx,band,England,1994,,
Jesse Zane,artist,United States,,,
Bill Ward Band,band,England,1986,,
The Alarm,band,Wales,1981,,
Republica,band,England,,,
Tantric,band,United States,1999,,
Jonny Lang,artist,United States,,,
Further Seems Forever,band,United States,,,
