name,type,country,founded,born,died
Amr Diab,artist,Egypt,,1961,
Intervox,band,United States,,,
Booker Little,artist,United States,,1938,1961
36 Crazyfists,band,United States,1994,,
Dwight Yoakam,artist,United States,,1980,
Spoon,band,United States,1994,,
Saafir,band,United States,,,
Nat King Cole,artist,United States,,,
McMaster and James,band,Canada,,,
Flowered Up,band,,,,
Bananarama,band,England,1981,,
Venini,band,United Kingdom,,,
The Kinleys,band,United States,,,
SHeDAiSY,band,United States,,,
Amazing Blondel,band,,,,
Ian Partridge,artist,England,,,
Talvin Singh,artist,India,,,
Ravi Shankar,artist,India,,,
Harry Chapin,artist,United States,,,
The Boswell Sisters,band,United States,1925,,
Peter Broggs,artist,Jamaica,,,
Van Halen,band,United States,1974,,
Mark Hoppus,artist,United States,,,
Art Blakey,artist,United States,,1919,1990
Haircut 100,band,England,,,
Ann-Margret,artist,Sweden,,1948,
Jimmy Eat World,band,United States,1994,,
The Scabs,band,United States,1993,,
Flint,band,United States,1978,,
Tom Waits,artist,United States,,1949,
Clan Gregor Society Pipe Band,band,Scotland,2001,,
Wendy and Lisa,band,,,,
The Punters,band,Canada,,,
Deborah Cox,artist,Canada,,,
The BoDeans,band,United States,1984,,
High Llamas,band,United Kingdom,,,
The Replacements,band,United States,,,
Jack DeJohnette,artist,United States,,,
Sons of the Pioneers,band,United States,,,
Unfinished Thought,band,,,,
Steve Conn,artist,United States,,,
Kazem Al Saher,artist,Iraq,,1961,
Nigel Kennedy,artist,England,,,
Connie Smith,artist,United States,,,
Five,band,United Kingdom,1998,,
Scott Joss,artist,United States,,,
Eve,band,United States,,,
Carly Simon,artist,United States,,,
Paxton,band,United States,,,
iZLER,artist,,,,
Peter Gabriel,artist,England,,1950,
Weezer,band,United States,1992,,
Tim Mahoney,artist,United States,,1970,
Oscar Peterson,artist,Canada,,,
Uncle Sid,band,,,,
Death,band,United States,,,
Rakim,band,United States,,,
Latin Playboys,band,United States,,,
Lulu,artist,Scotland,,1948,
A Perfect Circle,band,United States,1999,,
Tasmin Archer,artist,England,,,
Girlschool,band,,,,
Paul Chambers,artist,United States,,1935,1969
Ginger Fish,artist,United States,,1966,
Six Feet Under,band,United States,1993,,
Static-X,band,United States,,,
Jimmy Nail,artist,England,,,
Motorpsycho,band,Norway,1989,,
Chayanne,band,Puerto Rico,,,
Broadzilla,band,United States,,,
Mick Jagger,artist,England,,1943,
Vision,band,,,,
Drinkers Drouth,band,Scotland,1974,,
Heaven 17,band,England,,,
Chris Stills,artist,United States,,,
808 State,band,England,1988,,
Seamus Kennedy,artist,Ireland,,,
Jay-Z,band,United States,,,
Stanley Clarke,artist,United States,,,
Joshua Redman,artist,United States,,,
Yellow Magic Orchestra,band,Japan,,,
Cult Of Luna,band,Sweden,1999,,
Lovin Spoonful,artist,,,,
Sheila Walsh,artist,Scotland,,,
Vengaboys,band,Spain,,,
Linda Davis,artist,United States,,1962,
Manic Street Preachers,band,Wales,1980,,
Maaya Sakamoto,artist,Japan,,1980,
St. Laurence O'Toole Pipe Band,band,Ireland,1910,,
Spoo Monkeys,band,United States,,,
Watashi Wa,band,United States,,,
Mayte,band,Puerto Rico,,,
Age of Chance,band,England,1991,,
Neve,band,United States,,,
Bride,band,United States,,,
Lecrae,artist,United States,,,
Clyde Curley and the Oxymorons,band,,,,
Zim Zum,artist,United States,,1969,
Secret Hate,band,United States,,,
Mr. Bungle,band,United States,1985,,
Georgia Satellites,band,United States,,,
Resurrection Band,band,United States,1971,,
System of a Down,band,United States,,,
Chicks on Speed,band,Germany,,,
Koil,band,Indonesia,,,
K-Ci and Jojo,band,United States,1997,,
Alice Deejay,band,Netherlands,1998,,
Tommy Coomes,artist,United States,,1946,
Pras,artist,United States,,,
Relativity,band,Scotland,1985,,
Murdoc,artist,,,,
Sheila Majid,artist,Malaysia,,1965,
Van Morrison,artist,Ireland,,1945,
Gordon Downie,artist,Canada,,,
The Flower Kings,band,Sweden,,,
Every Little Thing,band,Japan,,,
Tom Lambert,artist,Ireland,,,
Mighty Mighty Bosstones,band,United States,,,
Paul Clark,artist,United States,,,
Los Angeles Police Pipe Band,band,United States,1979,,
Wolfgang,band,Philippines,,,
Gene Loves Jezebel,band,Wales,,,
Urge Overkill,band,United States,,,
The Taj Motel Trio,band,United States,,,
Al Bowlly,artist,South Africa,,,1941
Two Ton Shoe,band,United States,,,
The Nylons,band,Canada,,,
Farrell &amp; Farrell,band,United States,,,
Tower of Power,band,United States,,,
Fallen To,band,United Kingdom,2001,,
Genitorturers,band,United States,,,
Weird Al Yankovic,artist,United States,,1959,
Johnny Thunders,artist,United States,,,
Eric Erlandson,artist,United States,,1963,
Grinspoon,band,Australia,,,
Big Black,band,United States,1982,,
Cro-Mags,band,United States,,,
Christina Aguilera,artist,United States,,1980,
Tsunami Bomb,band,,,,
Annie Herring,artist,United States,,,
Tone-Loc,band,,,,
Suzi Quatro,artist,United States,,1950,
Kix Brooks,artist,United States,,1955,
David Jay,artist,England,,,
Opeth,band,Sweden,1990,,
Ice Cube,band,United States,,,
Act One Company,band,United States,,,
Old Blue Moses,band,,,,
Linda Ronstadt,artist,United States,,,
Sunshine Skiffle Band,band,United States,,,
Steve Wariner,artist,United States,,,
Mexican Pets,band,Ireland,1991,,
Count Zero,band,United States,,,
June Carter Cash,artist,United States,,1929,2003
Korn,band,United States,1993,,
Simon Says,band,United States,,,
Love 45,band,United States,,,
theaudience,band,,,,
Vixen,band,United States,,,
Arctic,band,,,,
Abysm,band,Netherlands,1995,,
John Coltrane,artist,United States,,1926,1967
Bo Diddley,artist,United States,,1928,
Brian Robertson,artist,Scotland,,1956,
Ultra High Frequency,band,,,,
B.B. King,artist,United States,,1925,
Citrus,band,,,,
Deep S.A.,band,United States,,,
Tom Tom Club,band,United States,,,
Dave Clark Five,band,England,1962,,
Linda McCartney,artist,United States,,1941,1998
Tom Jones,artist,Wales,,1940,
Billy Yates,artist,United States,,,
Iron Broo,band,,,,
Modena City Ramblers,band,Italy,1991,,
The Jim Byrnes Band,band,Canada,,,
Sean Lennon,artist,England,,,
Sentient Machine,band,,,,
Big Bad Voodoo Daddy,band,United States,1990,,
Duane Eddy,artist,United States,,,
Ludacris,artist,United States,,1977,
Hole,band,United States,,,
Ben Folds Five,band,United States,1994,,
Nelly Furtado,artist,Canada,,,
Gary Numan,artist,England,,1958,
Bikini Kill,band,United States,1990,,
Rosey,artist,,,,
Over the Rhine,band,United States,1989,,
Phoenix Stone,artist,United States,,,
John 5,artist,United States,,1971,
Tom Hensley,artist,United States,,,
Sonny Stitt,artist,United States,,1924,1982
Fleetwood Mac,band,United Kingdom,1968,,
702,band,United States,1995,,
Saint,band,United States,,,
Malcolm McLaren,artist,England,,1946,
Group X,band,United States,,,
Joe Walsh,artist,United States,,,
Lene Lovich,artist,United States,,1949,
Duane Steele,artist,Canada,,,
Lisa Itts,artist,United States,,,
Harlow,band,United States,,,
Rory Gallagher,artist,Ireland,,,
Roy Acuff,artist,United States,,1903,1992
Gary Moore,artist,Northern Ireland,,1952,
Puya,band,United States,,,
Electric Light Orchestra,band,United Kingdom,1971,,
